NAME,GENRES,POPULARITY
Taylor Swift,pop,100
Billie Eilish,"art pop, pop",96
The Weeknd,"canadian contemporary r&b, canadian pop, pop",96
Sabrina Carpenter,pop,95
Travis Scott,"rap, slap house",94
Bruno Mars,"dance pop, pop",94
Peso Pluma,"corridos tumbados, sad sierreno",93
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",92
Ariana Grande,pop,92
Lady Gaga,"art pop, dance pop, pop",92
Feid,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",92
Post Malone,"dfw rap, melodic rap, pop, rap",92
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",92
KAROL G,"reggaeton, reggaeton colombiano, urbano latino",92
Morgan Wallen,contemporary country,91
Chappell Roan,indie pop,90
Playboi Carti,"atl hip hop, plugg, pluggnb, rage rap, rap",90
Charli xcx,"art pop, candy pop, metropopolis, pop, uk pop",89
Jimin,k-pop,89
Tito Double P,corrido,89
Cris Mj,"mambo chileno, trap latino, urbano chileno, urbano latino",88
"Tyler, The Creator","hip hop, rap",87
Hozier,"irish singer-songwriter, modern rock, pop, pov: indie",87
Jung Kook,k-pop,87
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",87
Teddy Swims,,86
Gracie Abrams,alt z,86
The Neighbourhood,"modern alternative rock, modern rock, pop",86
Benson Boone,singer-songwriter pop,86
