SONG_ID,SONG_NAME,DURATION_MS,POPULARITY,URL,SONG_ADDED,ALBUM_ID,ARTIST_ID
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,86983,88,https://open.spotify.com/track/1XBYiRV30ykHw5f4wm6qEn,2024-10-11,63IolVUykZCHMlu2zu9jHS,2tIP7SsRs7vjIcLrU85W8J
2plbrEY59IikOBgBGLjaoe,Die With A Smile,251667,100,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,2024-10-11,10FLjwfpbxLmW8c25Xyc2N,"1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C"
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,142514,82,https://open.spotify.com/track/3JG1uFc40wfyrqaWC7iv0e,2024-10-11,5nzSCZ7NhKvAysI0tmNOdD,0PCCGZ0wGLizHt2KZ7hhA2
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,261466,91,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,2024-10-11,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,184841,90,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,2024-10-11,0EiI8ylL0FmWWpgHVTsZjZ,7GlBOeep6PqTfFi59PTUUN
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",157146,90,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,2024-10-11,56bdWeO40o3WfAD2Lja4dl,4tuJ0bMpJh08umKkEXKUI5
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,274192,90,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,2024-10-11,5JjnoGJyOxfSZUZtk2rRwZ,2YZyLoL8N0Wb9xBt1NhZWg
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,171869,92,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,2024-10-11,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B
2mtVxf50BYsKNtQoz8sfzm,Iris,289533,53,https://open.spotify.com/track/2mtVxf50BYsKNtQoz8sfzm,2024-10-11,2IxykVOZuS5JdJHjhlD2ds,2sil8z5kiy4r76CRTXxBCA
3qhlB30KknSejmIvZZLjOD,End of Beginning,159245,90,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,2024-10-11,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),191700,89,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,2024-10-11,18NOKLkZETa4sWwLMIm0UZ,"0Y5tJX1MQlPlqiwlOH1tJY, 699OTQXzgjhIYAHMy9RyPD"
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,183956,90,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,2024-10-11,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH
17phhZDn6oGtzMe56NuWvj,Lose Control,210688,89,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,2024-10-11,7nacKlk586eLRBSIsrk9DB,33qOK5uJ8AR2xuQQAhHump
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor,155757,86,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H,2024-10-11,2F84s5tvr9RSS6VI772mVb,5L1lO4eRHmJ7a0Q6csE5cT
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,155151,90,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,2024-10-11,2Z1gnUf3nbn6DtwZSUIH54,1WaFQSHVGZQJTbf0BdxdNo
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,210373,98,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,2024-10-11,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
